Column1;Column2;Column3
1615446154;1.7;2021-03-11 08:02
1615446778;1.8;2021-03-11 08:12
1615447402;2.1;2021-03-11 08:23
1615448314;2.1;2021-03-11 08:38
1615448986;2.2;2021-03-11 08:49
1615449658;2.3;2021-03-11 09:00
1615450426;2.3;2021-03-11 09:13
1615451050;2.3;2021-03-11 09:24
1615451962;2.5;2021-03-11 09:39
1615452682;2.6;2021-03-11 09:51
1615453306;2.7;2021-03-11 10:01
1615454746;2.7;2021-03-11 10:25
1615455850;2.8;2021-03-11 10:44
1615456666;2.9;2021-03-11 10:57
1615457914;2.4;2021-03-11 11:18
1615460746;1.9;2021-03-11 12:05
1615461706;2.2;2021-03-11 12:21
1615462714;2.2;2021-03-11 12:38
1615463386;2.2;2021-03-11 12:49
1615464154;2.2;2021-03-11 13:02
1615464826;2.2;2021-03-11 13:13
1615468714;2.3;2021-03-11 14:18
1615474954;1.9;2021-03-11 16:02
1615479466;2;2021-03-11 17:17
1615480330;1.9;2021-03-11 17:32
1615481098;1.9;2021-03-11 17:44
1615481914;2;2021-03-11 17:58
1615488826;2.2;2021-03-11 19:53
1615525690;4.7;2021-03-12 06:08
1615527178;4.8;2021-03-12 06:32
1615527850;4.8;2021-03-12 06:44
1615528522;4.9;2021-03-12 06:55
1615529194;4.9;2021-03-12 07:06
1615529962;4.8;2021-03-12 07:19
1615530778;5.1;2021-03-12 07:32
1615531498;5.2;2021-03-12 07:44
1615532170;5.4;2021-03-12 07:56
1615533130;5.4;2021-03-12 08:12
1615534090;5.5;2021-03-12 08:28
1615535050;5.9;2021-03-12 08:44
1615535722;5.9;2021-03-12 08:55
1615536586;6.3;2021-03-12 09:09
1615537498;6.4;2021-03-12 09:24
1615538122;6.4;2021-03-12 09:35
1615538937;6.5;2021-03-12 09:48
1615539658;6.7;2021-03-12 10:00
1615540378;6.8;2021-03-12 10:12
1615541001;6.9;2021-03-12 10:23
1615541865;6.8;2021-03-12 10:37
1615542777;6.9;2021-03-12 10:52
1615543498;7.1;2021-03-12 11:04
1615544313;7.3;2021-03-12 11:18
1615544985;7.5;2021-03-12 11:29
1615545657;7.7;2021-03-12 11:40
1615546281;7.9;2021-03-12 11:51
1615546953;8.2;2021-03-12 12:02
1615547721;7.9;2021-03-12 12:15
1615548441;8;2021-03-12 12:27
1615549209;8.1;2021-03-12 12:40
1615549881;8;2021-03-12 12:51
1615550553;8.1;2021-03-12 13:02
1615551369;8.4;2021-03-12 13:16
1615551993;8.2;2021-03-12 13:26
1615552665;8.1;2021-03-12 13:37
1615553433;8.2;2021-03-12 13:50
1615554153;8.3;2021-03-12 14:02
1615554777;8.1;2021-03-12 14:12
1615555449;8.1;2021-03-12 14:24
1615556121;8.1;2021-03-12 14:35
1615556745;8.2;2021-03-12 14:45
1615557417;8.4;2021-03-12 14:56
1615558137;8.1;2021-03-12 15:08
1615558761;7.9;2021-03-12 15:19
1615559385;7.8;2021-03-12 15:29
1615560009;7.8;2021-03-12 15:40
1615560633;7.9;2021-03-12 15:50
1615561305;7.5;2021-03-12 16:01
1615561929;7.5;2021-03-12 16:12
1615562793;7.3;2021-03-12 16:26
1615563561;7.1;2021-03-12 16:39
1615564233;6.8;2021-03-12 16:50
1615564857;6.6;2021-03-12 17:00
1615565481;6.7;2021-03-12 17:11
1615566105;6.2;2021-03-12 17:21
1615566777;5.9;2021-03-12 17:32
1615567593;5.8;2021-03-12 17:46
1615568217;5.6;2021-03-12 17:56
1615568889;5.3;2021-03-12 18:08
1615569513;5.1;2021-03-12 18:18
1615571193;4.6;2021-03-12 18:46
1615571865;4.5;2021-03-12 18:57
1615572729;4.3;2021-03-12 19:12
1615574649;4;2021-03-12 19:44
1615576185;3.9;2021-03-12 20:09
1615577049;3.8;2021-03-12 20:24
1615577721;3.7;2021-03-12 20:35
1615578681;3.6;2021-03-12 20:51
1615580793;3.3;2021-03-12 21:26
1615581753;3.2;2021-03-12 21:42
1615582569;3;2021-03-12 21:56
1615583481;2.9;2021-03-12 22:11
1615584297;2.9;2021-03-12 22:24
1615586937;2.7;2021-03-12 23:08
1615588521;2.6;2021-03-12 23:35
1615589241;2.6;2021-03-12 23:47
1615591593;2.6;2021-03-13 00:26
1615592793;2.4;2021-03-13 00:46
1615593465;2.5;2021-03-13 00:57
1615594905;2.4;2021-03-13 01:21
1615595529;2.3;2021-03-13 01:32
1615596537;2.2;2021-03-13 01:48
1615597497;2.2;2021-03-13 02:04
1615598169;2.1;2021-03-13 02:16
1615599081;2.1;2021-03-13 02:31
1615599849;2;2021-03-13 02:44
1615600521;1.9;2021-03-13 02:55
1615601673;1.9;2021-03-13 03:14
1615602489;1.8;2021-03-13 03:28
